date,machine_name,region_id,sex,genotype,compound,vial_date,start_hour,concentration
07/10/2021,ETHOSCOPE_141,23,male,CS,permethrin,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_141,24,male,CS,permethrin,22/09/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,1,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,2,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,3,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,4,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,5,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,6,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,7,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,8,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,9,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,10,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,11,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,12,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,13,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,14,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,15,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,16,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,17,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,18,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,19,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,20,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,21,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,22,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,23,male,CS,permethrin,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_261,24,male,CS,permethrin,01/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,1,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,2,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,3,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,4,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,5,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,6,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,7,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,8,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,9,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,10,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,11,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,12,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,13,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,14,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,15,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,16,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,17,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,18,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,19,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,20,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,21,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,22,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,23,male,CS,permethrin,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_259,24,male,CS,permethrin,15/10/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,1,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,2,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,3,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,4,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,5,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,6,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,7,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,8,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,9,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,10,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,11,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,12,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,13,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,14,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,15,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,16,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,17,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,18,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,19,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,20,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,21,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,22,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,23,male,CS,flonicamid,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_108,24,male,CS,flonicamid,22/09/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,1,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,2,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,3,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,4,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,5,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,6,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,7,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,8,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,9,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,10,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,11,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,12,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,13,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,14,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,15,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,16,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,17,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,18,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,19,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,20,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,21,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,22,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,23,male,CS,flonicamid,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_147,24,male,CS,flonicamid,01/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,1,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,2,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,3,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,4,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,5,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,6,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,7,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,8,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,9,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,10,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,11,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,12,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,13,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,14,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,15,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,16,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,17,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,18,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,19,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,20,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,21,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,22,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,23,male,CS,flonicamid,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_218,24,male,CS,flonicamid,15/10/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,1,male,CS,lufenuron,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,2,male,CS,lufenuron,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,3,male,CS,lufenuron,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,4,male,CS,lufenuron,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,5,male,CS,lufenuron,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,6,male,CS,lufenuron,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,7,male,CS,lufenuron,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,8,male,CS,lufenuron,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,9,male,CS,lufenuron,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,10,male,CS,lufenuron,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,11,male,CS,lufenuron,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,12,male,CS,lufenuron,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,13,male,CS,lufenuron,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,14,male,CS,lufenuron,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,15,male,CS,lufenuron,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,16,male,CS,lufenuron,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,17,male,CS,lufenuron,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,18,male,CS,lufenuron,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,19,male,CS,lufenuron,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,20,male,CS,lufenuron,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,21,male,CS,lufenuron,22/09/2021,ZT0,100
