id	t	x	max_velocity	interactions	beam_crosses	moving	asleep	is_interpolated
2026-06-18_20-59-32_00605e|01	61230	0.178832116788321	2.3274413469239	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61240	0.184306569343066	1.54482306578763	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61250	0.180656934306569	2.29022813338077	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61260	0.180656934306569	7.07748154000073	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61270	0.22992700729927	8.91002136221104	0	1	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61280	0.744525547445255	10.3723877903534	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61290	0.534671532846715	8.95114815219502	0	1	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61300	0.197080291970803	1.72138789757357	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61310	0.180656934306569	9.37300276799647	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61320	0.423357664233577	9.43797331933126	0	1	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61330	0.943430656934307	5.21049214213651	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61340	0.91058394160584	11.0377040494197	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61350	0.700729927007299	1.36106462110897	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61360	0.702554744525547	1.03247309973886	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61370	0.702554744525547	1.31788873356043	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61380	0.698905109489051	6.38085308340362	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61390	0.631386861313869	13.0580625702594	0	1	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61400	0.195255474452555	1.45170624561856	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61410	0.18978102189781	2.04116797241591	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61420	0.182481751824818	2.10319114826731	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61430	0.187956204379562	1.65150063601597	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61440	0.187956204379562	1.52713962238178	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61450	0.182481751824818	1.56992442132318	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61460	0.178832116788321	2.70320352617947	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61470	0.175182481751825	4.13884102530804	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61480	0.184306569343066	10.6139917390871	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61490	0.244525547445255	15.377252485346	0	1	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61500	0.833941605839416	6.39556246890096	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61510	0.881386861313869	9.5913280491189	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61520	0.552919708029197	8.7877712860846	0	1	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61530	0.211678832116788	7.51413070717476	0	2	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61540	0.633211678832117	3.22016959663271	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61550	0.66058394160584	0.961343834375535	0	0	FALSE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61560	0.66058394160584	2.08871288224112	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61570	0.671532846715328	12.9681714998094	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61580	0.954379562043796	10.5166820779154	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61590	0.702554744525547	5.11538994266431	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61600	0.64051094890511	1.31485767358426	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61610	0.638686131386861	1.46513871812608	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61620	0.633211678832117	0.880802919107316	0	0	FALSE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61630	0.633211678832117	2.03647341635191	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61640	0.633211678832117	0.974717459281112	0	0	FALSE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61650	0.631386861313869	0.941626658305236	0	0	FALSE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61660	0.631386861313869	1.00202543420941	0	0	TRUE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61670	0.631386861313869	0.913858057309294	0	0	FALSE	FALSE	FALSE
2026-06-18_20-59-32_00605e|01	61680	0.631386861313869	0.915964717700799	0	0	FALSE	FALSE	FALSE
