date,machine_name,region_id,sex,sdi,baseline_days,status,video_region_id,video
2016-04-18,ETHOSCOPE_026,17,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_026,19,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_003,1,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_003,2,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_003,3,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_003,4,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_003,5,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_003,6,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_003,7,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_003,8,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_003,9,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_003,10,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_003,11,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_003,12,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_003,13,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_003,14,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_003,15,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_003,16,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_003,17,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_003,18,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_003,19,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_003,20,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_001,1,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_001,2,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_001,3,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_001,4,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_001,5,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_001,6,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_001,7,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_001,8,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_001,9,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_001,10,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_001,11,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_001,12,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_001,13,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_001,14,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_001,15,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_001,16,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_001,17,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_001,18,F,0,4,OK,None,None
2016-04-18,ETHOSCOPE_001,19,F,0,4,OK,None,None
